RUNS,WEEK,Sessions,R0classroom,R0cheaters,%cheat,careless groupsize,town party size,weekly town parties,faculty % online,facultyF2F,studentsF2F,starters,meaninfected,meaninfectedinclass,maxinfected,maxinfectedinclass,meanatriskFacultyInfected,meanatriskStudentsInfected,maxatriskFacultyInfected,maxatriskStudentsInfected
2,0,500,0.81,1.1,0.1,7,80,6,0.4,215,4320,13,3,3,3,3,0,0,0,0
2,1,500,0.81,1.1,0.1,7,80,6,0.4,215,4320,13,68,52,68,52,1,2,1,2
2,2,500,0.81,1.1,0.1,7,80,6,0.4,215,4320,13,96,66,128,89,1,3,2,4
2,3,500,0.81,1.1,0.1,7,80,6,0.4,215,4320,13,119,77,203,135,1,4,2,8
2,4,500,0.81,1.1,0.1,7,80,6,0.4,215,4320,13,147,93,298,191,1,3,3,10
2,5,500,0.81,1.1,0.1,7,80,6,0.4,215,4320,13,178,115,412,270,1,4,3,13
2,6,500,0.81,1.1,0.1,7,80,6,0.4,215,4320,13,212,137,529,351,1,5,3,13
2,7,500,0.81,1.1,0.1,7,80,6,0.4,215,4320,13,247,163,629,435,0,6,3,15
2,8,500,0.81,1.1,0.1,7,80,6,0.4,215,4320,13,291,194,721,518,1,7,4,16
2,9,500,0.81,1.1,0.1,7,80,6,0.4,215,4320,13,344,232,791,588,2,7,6,18
2,10,500,0.81,1.1,0.1,7,80,6,0.4,215,4320,13,409,275,848,645,3,9,7,19
2,11,500,0.81,1.1,0.1,7,80,6,0.4,215,4320,13,478,325,893,686,4,10,8,19
2,12,500,0.81,1.1,0.1,7,80,6,0.4,215,4320,13,545,382,931,722,4,14,8,21
2,13,500,0.81,1.1,0.1,7,80,6,0.4,215,4320,13,605,436,959,750,4,15,8,21
2,14,500,0.81,1.1,0.1,7,80,6,0.4,215,4320,13,654,481,978,769,4,15,9,21
2,15,500,0.81,1.1,0.1,7,80,6,0.4,215,4320,13,694,519,991,785,5,14,9,21
