RUNS,WEEK,R0classroom,R0cheaters,%cheat,careless groupsize,town party size,weekly town parties,faculty % online,facultyF2F,studentsF2F,starters,meaninfected,meaninfectedinclass,maxinfected,maxinfectedinclass,meanatriskFacultyInfected,meanatriskStudentsInfected,maxatriskFacultyInfected,maxatriskStudentsInfected
2,0,0.81,1.1,0.1,-1,80,0,0.0,339,5662,17,3,3,3,3,0,0,0,0
2,1,0.81,1.1,0.1,-1,80,0,0.0,339,5662,17,82,63,82,63,0,1,0,2
2,2,0.81,1.1,0.1,-1,80,0,0.0,339,5662,17,114,79,146,102,1,1,1,2
2,3,0.81,1.1,0.1,-1,80,0,0.0,339,5662,17,145,93,237,156,0,2,1,5
2,4,0.81,1.1,0.1,-1,80,0,0.0,339,5662,17,183,116,356,224,0,4,1,7
2,5,0.81,1.1,0.1,-1,80,0,0.0,339,5662,17,230,145,496,314,0,5,2,12
2,6,0.81,1.1,0.1,-1,80,0,0.0,339,5662,17,281,179,654,431,1,5,3,15
2,7,0.81,1.1,0.1,-1,80,0,0.0,339,5662,17,342,222,814,556,1,6,5,20
2,8,0.81,1.1,0.1,-1,80,0,0.0,339,5662,17,416,271,955,677,2,7,5,24
2,9,0.81,1.1,0.1,-1,80,0,0.0,339,5662,17,509,337,1075,789,1,8,9,26
2,10,0.81,1.1,0.1,-1,80,0,0.0,339,5662,17,619,421,1171,885,2,11,10,30
2,11,0.81,1.1,0.1,-1,80,0,0.0,339,5662,17,727,506,1252,965,4,13,10,30
2,12,0.81,1.1,0.1,-1,80,0,0.0,339,5662,17,828,588,1319,1030,4,16,11,32
2,13,0.81,1.1,0.1,-1,80,0,0.0,339,5662,17,926,671,1368,1078,5,17,11,34
2,14,0.81,1.1,0.1,-1,80,0,0.0,339,5662,17,1019,758,1407,1117,5,23,13,35
2,15,0.81,1.1,0.1,-1,80,0,0.0,339,5662,17,1098,833,1438,1148,4,25,13,37
