RUNS,WEEK,R0classroom,R0cheaters,%cheat,careless groupsize,town party size,weekly town parties,faculty % online,facultyF2F,studentsF2F,starters,meaninfected,meaninfectedinclass,maxinfected,maxinfectedinclass,meanatriskFacultyInfected,meanatriskStudentsInfected,maxatriskFacultyInfected,maxatriskStudentsInfected
2,0,0.81,1.1,0.1,7,80,6,0.4,205,4270,13,3,3,3,3,0,0,0,0
2,1,0.81,1.1,0.1,7,80,6,0.4,205,4270,13,61,47,63,47,1,2,1,2
2,2,0.81,1.1,0.1,7,80,6,0.4,205,4270,13,85,58,122,82,1,3,1,5
2,3,0.81,1.1,0.1,7,80,6,0.4,205,4270,13,105,66,205,125,1,3,3,5
2,4,0.81,1.1,0.1,7,80,6,0.4,205,4270,13,134,83,326,200,1,4,3,9
2,5,0.81,1.1,0.1,7,80,6,0.4,205,4270,13,165,104,459,294,1,4,3,12
2,6,0.81,1.1,0.1,7,80,6,0.4,205,4270,13,196,126,572,386,1,5,3,16
2,7,0.81,1.1,0.1,7,80,6,0.4,205,4270,13,226,151,655,464,0,6,3,17
2,8,0.81,1.1,0.1,7,80,6,0.4,205,4270,13,263,171,718,525,1,6,4,17
2,9,0.81,1.1,0.1,7,80,6,0.4,205,4270,13,301,196,761,568,0,6,4,19
2,10,0.81,1.1,0.1,7,80,6,0.4,205,4270,13,347,226,799,606,1,8,5,19
2,11,0.81,1.1,0.1,7,80,6,0.4,205,4270,13,402,262,829,636,1,9,6,21
2,12,0.81,1.1,0.1,7,80,6,0.4,205,4270,13,462,305,854,661,2,9,6,21
2,13,0.81,1.1,0.1,7,80,6,0.4,205,4270,13,512,346,873,685,3,9,6,21
2,14,0.81,1.1,0.1,7,80,6,0.4,205,4270,13,556,388,894,715,3,12,7,22
2,15,0.81,1.1,0.1,7,80,6,0.4,205,4270,13,592,425,917,738,4,13,7,22
