RUNS,WEEK,Sessions,R0classroom,R0cheaters,%cheat,careless groupsize,town party size,weekly town parties,faculty % online,facultyF2F,studentsF2F,starters,meaninfected,meaninfectedinclass,maxinfected,maxinfectedinclass,meanatriskFacultyInfected,meanatriskStudentsInfected,maxatriskFacultyInfected,maxatriskStudentsInfected
42,0,487,0.81,1.15,0.1,7,80,6,0.4,205,4149,13,3,3,3,3,0,0,0,0
42,1,487,0.81,1.15,0.1,7,80,6,0.4,205,4149,13,63,46,70,51,0,0,1,3
42,2,487,0.81,1.15,0.1,7,80,6,0.4,205,4149,13,116,77,137,87,1,1,2,6
42,3,487,0.81,1.15,0.1,7,80,6,0.4,205,4149,13,186,117,230,141,1,2,4,8
42,4,487,0.81,1.15,0.1,7,80,6,0.4,205,4149,13,280,174,355,219,2,6,5,13
42,5,487,0.81,1.15,0.1,7,80,6,0.4,205,4149,13,391,247,485,309,2,9,7,16
42,6,487,0.81,1.15,0.1,7,80,6,0.4,205,4149,13,506,334,607,407,3,11,7,22
42,7,487,0.81,1.15,0.1,7,80,6,0.4,205,4149,13,608,419,714,503,4,14,9,27
42,8,487,0.81,1.15,0.1,7,80,6,0.4,205,4149,13,693,498,808,587,5,15,11,27
42,9,487,0.81,1.15,0.1,7,80,6,0.4,205,4149,13,761,562,907,673,5,17,12,31
42,10,487,0.81,1.15,0.1,7,80,6,0.4,205,4149,13,816,616,985,749,6,20,12,33
42,11,487,0.81,1.15,0.1,7,80,6,0.4,205,4149,13,858,659,1044,808,6,20,13,33
42,12,487,0.81,1.15,0.1,7,80,6,0.4,205,4149,13,892,692,1089,853,6,23,13,35
42,13,487,0.81,1.15,0.1,7,80,6,0.4,205,4149,13,918,718,1127,890,5,22,13,35
42,14,487,0.81,1.15,0.1,7,80,6,0.4,205,4149,13,939,740,1159,922,6,24,14,35
42,15,487,0.81,1.15,0.1,7,80,6,0.4,205,4149,13,956,758,1183,946,5,24,15,35
