RUNS,WEEK,Sessions,R0classroom,R0cheaters,%cheat,careless groupsize,town party size,weekly town parties,faculty % online,facultyF2F,studentsF2F,starters,meaninfected,meaninfectedinclass,maxinfected,maxinfectedinclass,meanatriskFacultyInfected,meanatriskStudentsInfected,maxatriskFacultyInfected,maxatriskStudentsInfected
100,0,472,0.81,1.15,0.1,7,80,6,0.4,203,4189,13,3,3,3,3,0,0,0,0
100,1,472,0.81,1.15,0.1,7,80,6,0.4,203,4189,13,62,49,69,52,0,1,2,3
100,2,472,0.81,1.15,0.1,7,80,6,0.4,203,4189,13,115,78,135,90,1,2,2,6
100,3,472,0.81,1.15,0.1,7,80,6,0.4,203,4189,13,184,117,231,143,1,3,3,9
100,4,472,0.81,1.15,0.1,7,80,6,0.4,203,4189,13,279,174,354,225,2,6,4,12
100,5,472,0.81,1.15,0.1,7,80,6,0.4,203,4189,13,395,250,483,317,2,8,6,14
100,6,472,0.81,1.15,0.1,7,80,6,0.4,203,4189,13,514,338,613,413,3,12,7,20
100,7,472,0.81,1.15,0.1,7,80,6,0.4,203,4189,13,618,427,724,512,3,14,10,23
100,8,472,0.81,1.15,0.1,7,80,6,0.4,203,4189,13,703,505,816,599,4,16,12,28
100,9,472,0.81,1.15,0.1,7,80,6,0.4,203,4189,13,771,570,892,674,6,17,14,28
100,10,472,0.81,1.15,0.1,7,80,6,0.4,203,4189,13,826,623,952,732,7,19,15,30
100,11,472,0.81,1.15,0.1,7,80,6,0.4,203,4189,13,871,667,1011,787,8,20,15,31
100,12,472,0.81,1.15,0.1,7,80,6,0.4,203,4189,13,906,703,1064,840,8,22,15,32
100,13,472,0.81,1.15,0.1,7,80,6,0.4,203,4189,13,934,730,1111,887,7,22,15,33
100,14,472,0.81,1.15,0.1,7,80,6,0.4,203,4189,13,956,754,1149,924,8,24,15,35
100,15,472,0.81,1.15,0.1,7,80,6,0.4,203,4189,13,975,773,1180,955,8,24,16,36
