RUNS,WEEK,R0classroom,R0cheaters,%cheat,careless groupsize,town party size,weekly town parties,faculty % online,facultyF2F,studentsF2F,starters,meaninfected,meaninfectedinclass,maxinfected,maxinfectedinclass,meanatriskFacultyInfected,meanatriskStudentsInfected,maxatriskFacultyInfected,maxatriskStudentsInfected
0,0,0.81,1.1,0.1,-1,80,0,0.0,339,5662,17,3,3,3,3,0,0,0,0
0,1,0.81,1.1,0.1,-1,80,0,0.0,339,5662,17,8,5,8,5,0,0,0,0
0,2,0.81,1.1,0.1,-1,80,0,0.0,339,5662,17,16,10,16,10,0,0,0,0
0,3,0.81,1.1,0.1,-1,80,0,0.0,339,5662,17,27,16,27,16,0,2,0,2
0,4,0.81,1.1,0.1,-1,80,0,0.0,339,5662,17,43,27,43,27,0,2,0,2
0,5,0.81,1.1,0.1,-1,80,0,0.0,339,5662,17,63,41,63,41,0,2,0,2
0,6,0.81,1.1,0.1,-1,80,0,0.0,339,5662,17,88,58,88,58,0,4,0,4
0,7,0.81,1.1,0.1,-1,80,0,0.0,339,5662,17,116,75,116,75,0,4,0,4
0,8,0.81,1.1,0.1,-1,80,0,0.0,339,5662,17,150,98,150,98,0,4,0,4
0,9,0.81,1.1,0.1,-1,80,0,0.0,339,5662,17,189,126,189,126,1,5,1,5
0,10,0.81,1.1,0.1,-1,80,0,0.0,339,5662,17,237,160,237,160,1,5,1,5
0,11,0.81,1.1,0.1,-1,80,0,0.0,339,5662,17,292,198,292,198,1,6,1,6
0,12,0.81,1.1,0.1,-1,80,0,0.0,339,5662,17,354,241,354,241,2,7,2,7
0,13,0.81,1.1,0.1,-1,80,0,0.0,339,5662,17,429,289,429,289,3,9,3,9
0,14,0.81,1.1,0.1,-1,80,0,0.0,339,5662,17,517,354,517,354,3,10,3,10
0,15,0.81,1.1,0.1,-1,80,0,0.0,339,5662,17,616,429,616,429,3,14,3,14
