Class Nbr,Subject,Catalog,Section,Room Capacity,Req Rm Cap,Enrollment Capacity,Enrollment Total
1055,ACC,121,10,40,35,30,31
1056,ACC,121,20,40,35,30,32
1057,ACC,121,40,40,35,30,30
1066,ACC,121,50,40,35,30,30
1072,ACC,121,210,40,35,30,30
1067,ACC,122,10,40,35,30,19
1062,ACC,122,20,40,35,30,30
1064,ACC,122,40,40,35,30,30
1063,ACC,122,50,40,35,30,12
1060,ACC,305,10,39,35,30,31
1069,ACC,312,10,38,35,30,30
1061,ACC,317,410,40,30,30,30
1058,ACC,321,10,40,35,30,31
1070,ACC,321,20,39,35,30,9
1059,ACC,322,10,39,35,30,17
1054,ACC,323,10,40,35,30,27
1071,ACC,325,10,39,30,30,22
1065,ACC,330,10,34,35,30,17
1068,ACC,520,801,39,20,20,13
3457,ALM,100,5010,,40,0,0
1002,ANT,  10CD,10,81,80,10,10
1003,ANT,  10CD,20,81,80,10,10
1004,ANT,  10CD,30,81,80,50,43
1005,ANT,  10CD,40,81,80,50,17
1011,ANT,20,10,44,40,40,15
1009,ANT,20,20,44,20,30,30
1014,ANT,  40CD,10,38,30,30,31
1010,ANT, 105CDCT,10,44,35,25,25
3090,ANT, 202CTQL,10,44,30,25,9
1013,ANT,218,810,,35,35,18
3092,ANT,239,10,35,40,35,16
1008,ANT, 360CMWI,10,35,30,21,18
3140,APD,141,10,26,25,20,23
3141,APD,141,20,21,25,20,20
3196,APD,141,30,,20,0,1
3200,APD, 171CPVL,810,450,25,20,22
3201,APD, 171CPVL,811,450,21,20,21
3138,APD,231,10,21,25,20,20
3139,APD,231,20,26,21,20,21
2684,APD,271,10,21,21,20,3
2681,APD,271,20,,21,20,0
2686,APD,341,10,,21,20,0
3197,APD,341,20,26,21,20,18
3198,APD,341,30,26,25,20,18
3207,APD,342,10,,21,20,0
3208,APD,342,20,26,21,20,6
3209,APD,342,30,26,25,20,4
3210,APD,343,10,,21,20,0
3211,APD,343,20,26,21,20,0
3212,APD,343,30,26,25,20,0
3213,APD,344,10,,21,20,0
3214,APD,344,20,26,21,20,0
3215,APD,344,30,26,25,20,0
3216,APD,345,10,,21,20,0
3217,APD,345,20,26,21,20,0
3218,APD,345,30,26,25,20,0
3202,APD,351,10,26,25,20,13
3203,APD,352,10,26,25,20,12
3512,APD,352,990,,30,0,1
3204,APD,353,10,26,25,20,0
3205,APD,354,10,26,25,20,0
3206,APD,355,10,26,25,20,0
3491,APD,361,10,26,30,20,21
3492,APD,361,20,21,30,20,20
3493,APD,361,610,21,30,20,17
3522,APD,362,10,26,20,20,1
3523,APD,362,20,21,20,20,1
3524,APD,362,610,21,20,20,2
3250,ARC,  15VL,801,450,130,130,108
2843,ARC, 200VLWI,10,,24,24,0
3505,ARC, 211CDVL,10,39,25,25,13
3241,ARC, 211CDVL,20,30,25,25,9
3253,ARC, 211CDVL,30,30,25,25,4
3459,ARC, 211CDVL,40,30,25,25,16
3252,ARC, 241CDVL,10,39,22,22,11
2846,ARC, 300CTWI,10,39,24,24,15
3352,ARC,517,801,,40,40,3
3352,ARC,517,801,,40,40,3
3352,ARC,517,801,,40,40,3
2696,ARH,  24VL,810,150,130,130,54
2693,ARH,  25VL,10,150,130,130,35
3320,ARH,  25VL,20,,130,130,0
2692,ARH, 124CTWI,10,35,35,30,10
2697,ARH, 124CTWI,20,35,35,30,9
2694,ARH, 125CTWI,10,150,35,30,14
2695,ARH, 125CTWI,20,35,35,30,11
2702,ARH, 125CTWI,30,,35,30,0
3525,ARH, 125CTWI,40,150,35,30,6
3322,ARH, 126CTWI,10,150,35,30,27
3458,ARH, 126CTWI,20,150,30,30,7
3324,ARH,337,10,35,30,25,29
3576,ARH,339,960,,40,0,1
3600,ARH,351,990,,25,0,2
3323,ARH, 370CDWI,810,35,35,25,32
2698,ARH,385,10,,30,25,0
3244,ARH,385,510,150,30,25,29
3582,ARH,390,970,,30,0,1
3575,ARH,395,960,,40,0,1
2849,ART,  31VL,10,24,22,22,8
2850,ART,  31VL,20,24,22,22,2
2851,ART,  31VL,30,24,22,22,2
3258,ART,  31VL,40,24,22,22,8
2852,ART,  32VL,10,24,22,22,7
2853,ART,  32VL,20,24,22,22,5
2854,ART,  32VL,30,24,22,22,9
2856,ART, 182CP,810,22,20,19,9
2859,ART, 182CP,811,26,25,20,11
3246,ART,331,10,,25,20,0
3247,ART,331,20,,21,20,0
3245,ART,331,610,,21,20,0
2896,ARU, 132CD,10,39,22,22,24
2889,ARU,210,10,,22,22,10
2863,ARU,236,10,24,40,20,18
2864,ARU,236,20,24,40,20,20
2871,ARU,236,30,24,20,20,19
2895,ARU,236,610,24,20,20,20
2887,ARU,301,10,,10,0,7
2887,ARU,301,10,30,10,0,7
2888,ARU,301,20,,10,0,10
2888,ARU,301,20,30,10,0,10
2877,ARU,310,410,39,22,22,18
2877,ARU,310,410,,22,22,18
2873,ARU,330,210,30,22,22,11
3249,ARU, 331CD,810,,20,20,17
3254,ARU,390,15,,20,0,0
2865,ARU,390,25,,40,30,7
3255,ARU,391,16,,20,0,0
2866,ARU,391,26,,30,30,7
2894,ARU,401,10,,22,22,0
2893,ARU,401,101,,40,20,2
2872,ARU,420,401,,20,22,5
2872,ARU,420,401,39,20,22,5
2876,ARU,420,410,,22,22,0
