Class Nbr,Instruction Type,Room,Meeting Days,Start Time,Enrollment Total,Status,Name
1758,In Person,LY120,MWF,12:00,5,Active,1
1800,In Person,LY218,MWF,14:00,20,Active,1
2001,In Person,BH261,MWF,12:00,33,Active,2
2002,In Person,BH415,M,14:00,17,Active,2
2019,In Person,BH105,MWF,10:00,16,Active,2
2020,In Person,BH310,H,8:00,16,Active,2
3276,In Person,OM281,TH,15:00,10,Active,3
3469,In Person,OM288,TH,12:00,31,Active,3
1941,In Person,SA13G,MWF,10:00,40,Active,4
3182,In Person,OM31,TH,13:30,3,Active,4
3193,In Person,SA5G,TH,12:00,8,Active,4
3194,In Person,SA13G,MWF,9:00,23,Active,4
2594,In Person,BH202,H,14:00,5,Active,5
2649,In Person,AF200,MWF,12:00,9,Active,5
3171,In Person,BH260,MWF,10:00,30,Active,5
1709,Blnd30-79,AF103,MW,14:00,20,Active,6
3334,Blnd30-79,AF202,MW,15:00,21,Active,6
3345,In Person,LY212,TH,9:30,24,Active,6
3346,In Person,LY108,TH,12:00,24,Active,6
2603,In Person,AF201,MW,10:00,89,Active,7
2604,In Person,BH211,T,14:00,21,Active,7
2605,In Person,BH211,H,14:00,24,Active,7
2606,In Person,BH211,M,14:00,21,Active,7
2607,In Person,BH211,W,14:00,23,Active,7
2672,In Person,AF201,MW,10:00,7,Active,7
2673,In Person,BH211,T,14:00,3,Active,7
2675,In Person,BH211,M,14:00,3,Active,7
1866,In Person,SA14G,MW,19:00,6,Active,8
1962,In Person,OM145,TH,13:30,11,Active,8
3542,In Person,OM145,TH,15:00,3,Active,8
3278,In Person,OM140,MWF,12:00,25,Active,9
3376,In Person,OM276,MWF,14:00,35,Active,9
3377,In Person,OM276,MWF,15:00,21,Active,9
3552,In Person,OM140,TH,13:30,3,Active,9
2583,In Person,BH230,T,15:00,4,Active,10
2610,In Person,BH145,MW,11:00,34,Active,10
2611,In Person,BH207,H,14:00,17,Active,10
2612,In Person,BH207,H,18:00,17,Active,10
2613,In Person,BH220,TH,12:00,10,Active,10
2177,In Person,OM294,MW,13:00,15,Active,11
2187,In Person,OM132,MW,15:00,19,Active,11
2197,In Person,OM136,TH,12:00,27,Active,11
2202,In Person,OM141,TH,13:30,32,Active,11
2011,In Person,BH310,M,14:00,16,Active,12
2013,In Person,BH310,W,14:00,14,Active,12
2022,In Person,BH310,F,14:00,14,Active,12
2926,In Person,LC4,TH,12:00,13,Active,13
